Model,R2 Score,MAE,RMSE,TOPSIS Score,Rank
Linear Regression,0.47457422183738807,12.366731765373597,16.15960345655358,1.0,1
Decision Tree,-0.24799920666601905,17.58383121632341,24.904748818041014,0.015294147385242539,3
Random Forest,0.42614548077890924,12.859603521346996,16.887910331423416,0.9317804668113266,6
KNN,-0.05535021584854638,18.12689715818202,22.901994864098956,0.2604461381701772,5
SVR,0.025110139521153374,16.57768044144341,22.011659599236687,0.3735544556422307,4
Gradient Boosting,0.40793191827994846,13.319343515958531,17.15381949401602,0.9043145247283442,2
